 -5.6114e+00   2.1335e-05   1.0668e-05   9.2041e-06   9.2041e-06   9.0988e-03
 -4.9013e+00   1.1040e-05   6.1544e-06   1.1858e-05   1.1858e-05   1.1718e-02
 -4.1944e+00   2.1209e-05   8.5565e-06   1.6021e-05   1.6021e-05   1.5827e-02
 -3.4875e+00   2.9634e-05   1.0079e-05   2.3728e-05   2.3728e-05   2.3457e-02
 -2.7806e+00   5.3853e-05   1.3626e-05   4.0238e-05   4.0238e-05   3.9901e-02
 -2.0738e+00   7.0820e-05   1.5614e-05   7.5122e-05   7.5122e-05   7.4838e-02
 -1.3669e+00   1.5712e-04   2.3396e-05   1.3652e-04   1.3652e-04   1.3674e-01
 -6.5998e-01   1.7115e-04   2.4371e-05   2.1382e-04   2.1382e-04   2.1504e-01
  4.6900e-02   2.8363e-04   3.1344e-05   2.5178e-04   2.5178e-04   2.5364e-01
  7.5378e-01   2.0482e-04   2.6576e-05   2.0410e-04   2.0410e-04   2.0519e-01
  1.4607e+00   1.1589e-04   1.9999e-05   1.2689e-04   1.2689e-04   1.2700e-01
  2.1675e+00   4.7138e-05   1.2678e-05   6.9064e-05   6.9064e-05   6.8774e-02
  2.8744e+00   3.9726e-05   1.1506e-05   3.7232e-05   3.7232e-05   3.6901e-02
  3.5813e+00   3.3277e-05   1.0501e-05   2.2357e-05   2.2357e-05   2.2093e-02
  4.2882e+00   2.5969e-05   9.1867e-06   1.5331e-05   1.5331e-05   1.5145e-02
  4.9951e+00   1.2902e-05   6.4521e-06   1.1443e-05   1.1443e-05   1.1309e-02
  5.7020e+00   6.3830e-06   4.5425e-06   8.9325e-06   8.9325e-06   8.8305e-03
  6.4088e+00   9.6659e-06   5.6101e-06   7.1720e-06   7.1720e-06   7.0906e-03
  7.1157e+00   3.4352e-06   3.3286e-06   5.8834e-06   5.8834e-06   5.8168e-03
  7.8226e+00   3.2485e-06   3.2485e-06   4.9125e-06   4.9125e-06   4.8571e-03
  8.5295e+00   3.2087e-06   3.2517e-06   4.1636e-06   4.1636e-06   4.1168e-03
  9.2364e+00   9.8937e-06   5.7464e-06   3.5745e-06   3.5745e-06   3.5343e-03
  9.9433e+00   1.3416e-05   6.7731e-06   3.1031e-06   3.1031e-06   3.0681e-03
  1.0651e+01   1.7632e-05   7.9242e-06   2.7199e-06   2.7199e-06   2.6892e-03
  1.1357e+01   7.4061e-06   4.9178e-06   2.4049e-06   2.4049e-06   2.3779e-03
  1.2064e+01   3.3965e-06   3.2917e-06   2.1423e-06   2.1423e-06   2.1182e-03
  1.2771e+01   2.3753e-07   8.6824e-07   1.9214e-06   1.9214e-06   1.8997e-03
  1.3478e+01   2.9195e-06   3.0567e-06   1.7338e-06   1.7338e-06   1.7142e-03
  1.4185e+01   3.2825e-06   3.2649e-06   1.5732e-06   1.5732e-06   1.5554e-03
  1.4892e+01   9.3533e-06   5.5424e-06   1.4346e-06   1.4346e-06   1.4184e-03
  1.5599e+01   6.8278e-06   4.7703e-06   1.3143e-06   1.3143e-06   1.2994e-03
  1.6306e+01   3.5480e-06   3.4373e-06   1.2091e-06   1.2091e-06   1.1955e-03
  1.7012e+01   1.8441e-05   7.8163e-06   1.1168e-06   1.1168e-06   1.1042e-03
  1.7719e+01   7.7255e-06   5.0562e-06   1.0351e-06   1.0351e-06   1.0234e-03
  1.8426e+01   6.6239e-06   4.6838e-06   9.6262e-07   9.6262e-07   9.5176e-04
  1.9133e+01   1.5173e-05   7.0265e-06   8.9798e-07   8.9798e-07   8.8785e-04
  1.9840e+01   7.5597e-06   4.9375e-06   8.4011e-07   8.4011e-07   8.3063e-04
  2.0547e+01   3.5319e-06   3.3670e-06   7.8809e-07   7.8809e-07   7.7920e-04
  2.1254e+01   8.7068e-06   5.2816e-06   7.4118e-07   7.4118e-07   7.3281e-04
  2.1961e+01   6.9176e-06   4.7183e-06   6.9873e-07   6.9873e-07   6.9084e-04
  2.2668e+01   3.7314e-06   3.4762e-06   6.6020e-07   6.6020e-07   6.5275e-04
  2.3374e+01   9.1912e-06   5.4801e-06   6.2517e-07   6.2517e-07   6.1812e-04
  2.4081e+01   7.0849e-06   4.8143e-06   5.9315e-07   5.9315e-07   5.8646e-04
  2.4788e+01   1.1971e-05   6.2983e-06   5.6386e-07   5.6386e-07   5.5749e-04
  2.5495e+01   1.6562e-05   7.4442e-06   5.3699e-07   5.3699e-07   5.3093e-04
  2.6202e+01   1.6701e-05   7.4690e-06   5.1229e-07   5.1229e-07   5.0650e-04
  2.6909e+01   2.2474e-05   8.6528e-06   4.8953e-07   4.8953e-07   4.8401e-04
  2.7616e+01   1.9752e-05   8.1599e-06   4.6853e-07   4.6853e-07   4.6324e-04
  2.8323e+01   2.1069e-05   8.4804e-06   4.4912e-07   4.4912e-07   4.4404e-04
  2.9030e+01   3.2075e-05   1.0512e-05   4.3113e-07   4.3113e-07   4.2626e-04
  2.9736e+01   2.9009e-05   9.9384e-06   4.1446e-07   4.1446e-07   4.0978e-04
