 -5.6612e+01   0.0000e+00   0.0000e+00   1.5228e-01   2.0567e-02   5.0101e-02   8.1614e-02   1.2640e-04
 -5.6169e+01   0.0000e+00   0.0000e+00   1.5574e-01   2.0795e-02   5.1132e-02   8.3813e-02   1.2781e-04
 -5.5483e+01   0.0000e+00   0.0000e+00   1.6149e-01   2.1161e-02   5.2832e-02   8.7495e-02   1.3006e-04
 -5.4803e+01   9.3000e-01   9.3000e-01   1.6771e-01   2.1539e-02   5.4653e-02   9.1515e-02   1.3239e-04
 -5.4110e+01   2.7900e+00   1.6100e+00   1.7465e-01   2.1940e-02   5.6665e-02   9.6044e-02   1.3485e-04
 -5.3420e+01   0.0000e+00   0.0000e+00   1.8225e-01   2.2356e-02   5.8841e-02   1.0105e-01   1.3741e-04
 -5.2738e+01   9.2000e-01   9.2000e-01   1.9052e-01   2.2785e-02   6.1180e-02   1.0655e-01   1.4005e-04
 -5.2045e+01   0.0000e+00   0.0000e+00   1.9981e-01   2.3239e-02   6.3773e-02   1.1280e-01   1.4285e-04
 -5.1363e+01   0.0000e+00   0.0000e+00   2.0997e-01   2.3705e-02   6.6564e-02   1.1970e-01   1.4572e-04
 -5.0670e+01   0.0000e+00   0.0000e+00   2.2147e-01   2.4199e-02   6.9672e-02   1.2760e-01   1.4876e-04
 -4.9976e+01   0.0000e+00   0.0000e+00   2.3438e-01   2.4716e-02   7.3098e-02   1.3656e-01   1.5194e-04
 -4.9281e+01   0.0000e+00   0.0000e+00   2.4894e-01   2.5256e-02   7.6885e-02   1.4680e-01   1.5527e-04
 -4.8594e+01   0.0000e+00   0.0000e+00   2.6523e-01   2.5815e-02   8.1029e-02   1.5838e-01   1.5871e-04
 -4.7908e+01   9.0000e-01   9.0000e-01   2.8373e-01   2.6398e-02   8.5624e-02   1.7171e-01   1.6230e-04
 -4.7228e+01   0.0000e+00   0.0000e+00   3.0471e-01   2.7003e-02   9.0698e-02   1.8701e-01   1.6602e-04
 -4.6536e+01   8.9000e-01   8.9000e-01   3.2934e-01   2.7646e-02   9.6476e-02   2.0521e-01   1.6998e-04
 -4.5839e+01   0.0000e+00   0.0000e+00   3.5820e-01   2.8325e-02   1.0303e-01   2.2685e-01   1.7416e-04
 -4.5149e+01   8.9000e-01   8.9000e-01   3.9176e-01   2.9029e-02   1.1036e-01   2.5237e-01   1.7850e-04
 -4.4453e+01   8.9000e-01   8.9000e-01   4.3191e-01   2.9774e-02   1.1877e-01   2.8336e-01   1.8309e-04
 -4.3777e+01   0.0000e+00   0.0000e+00   4.7857e-01   3.0533e-02   1.2810e-01   3.1994e-01   1.8777e-04
 -4.3093e+01   0.0000e+00   0.0000e+00   5.3572e-01   3.1339e-02   1.3894e-01   3.6544e-01   1.9273e-04
 -4.2401e+01   1.8400e+00   1.3000e+00   6.0684e-01   3.2195e-02   1.5162e-01   4.2303e-01   1.9800e-04
 -4.1700e+01   0.0000e+00   0.0000e+00   6.9724e-01   3.3107e-02   1.6663e-01   4.9751e-01   2.0362e-04
 -4.1011e+01   9.4000e-01   9.4000e-01   8.1093e-01   3.4050e-02   1.8400e-01   5.9289e-01   2.0943e-04
 -4.0335e+01   0.0000e+00   0.0000e+00   9.5637e-01   3.5023e-02   2.0419e-01   7.1716e-01   2.1543e-04
 -3.9633e+01   0.0000e+00   0.0000e+00   1.1596e+00   3.6088e-02   2.2933e-01   8.9423e-01   2.2200e-04
 -3.8934e+01   9.9000e-01   9.9000e-01   1.4425e+00   3.7207e-02   2.5978e-01   1.1455e+00   2.2889e-04
 -3.8242e+01   1.0000e+00   1.0000e+00   1.8446e+00   3.8377e-02   2.9689e-01   1.5093e+00   2.3611e-04
 -3.7557e+01   0.0000e+00   0.0000e+00   2.4187e+00   3.9600e-02   3.4269e-01   2.0365e+00   2.4365e-04
 -3.6866e+01   0.0000e+00   0.0000e+00   3.2231e+00   4.0904e-02   4.0123e-01   2.7810e+00   2.5169e-04
 -3.6186e+01   4.0900e+00   2.0400e+00   4.2123e+00   4.2261e-02   4.7564e-01   3.6944e+00   2.6006e-04
 -3.5489e+01   8.1500e+00   2.8800e+00   5.2444e+00   4.3735e-02   5.7656e-01   4.6241e+00   2.6915e-04
 -3.4800e+01   2.0600e+00   1.4600e+00   5.9349e+00   4.5280e-02   7.1256e-01   5.1770e+00   2.7869e-04
 -3.4117e+01   4.1600e+00   2.0800e+00   6.0196e+00   4.6906e-02   9.0142e-01   5.0712e+00   2.8872e-04
 -3.3412e+01   6.2500e+00   2.5500e+00   5.5777e+00   4.8690e-02   1.1837e+00   4.3454e+00   2.9973e-04
 -3.2724e+01   5.2700e+00   2.3600e+00   5.0301e+00   5.0544e-02   1.5861e+00   3.3934e+00   3.1118e-04
 -3.2036e+01   4.2000e+00   2.1000e+00   4.7214e+00   5.2519e-02   2.1513e+00   2.5175e+00   3.2337e-04
 -3.1345e+01   4.2800e+00   2.1400e+00   4.7721e+00   5.4635e-02   2.8721e+00   1.8453e+00   3.3644e-04
 -3.0654e+01   2.1700e+00   1.5300e+00   5.0520e+00   5.6896e-02   3.6189e+00   1.3762e+00   3.5041e-04
 -2.9963e+01   6.5100e+00   2.6600e+00   5.2427e+00   5.9315e-02   4.1262e+00   1.0573e+00   3.6536e-04
 -2.9260e+01   2.2300e+00   1.5800e+00   5.0261e+00   6.1953e-02   4.1301e+00   8.3402e-01   3.8167e-04
 -2.8567e+01   3.4400e+00   1.9800e+00   4.3695e+00   6.4746e-02   3.6268e+00   6.7795e-01   3.9894e-04
