 -5.6619e+00   4.3478e-05   1.4493e-05   4.2415e-05   3.4493e-05   7.5137e-06   4.0874e-07   8.9483e-03
 -4.9671e+00   4.4508e-05   1.0471e-05   5.2831e-05   4.4138e-05   8.2714e-06   4.2181e-07   1.1430e-02
 -4.2723e+00   6.7859e-05   1.2923e-05   6.8629e-05   5.9049e-05   9.1445e-06   4.3577e-07   1.5258e-02
 -3.5775e+00   9.8283e-05   1.5549e-05   9.5967e-05   8.5361e-05   1.0155e-05   4.5068e-07   2.2146e-02
 -2.8827e+00   1.3195e-04   1.8034e-05   1.4971e-04   1.3792e-04   1.1330e-05   4.6664e-07   3.6639e-02
 -2.1879e+00   2.3195e-04   2.3852e-05   2.5630e-04   2.4312e-04   1.2701e-05   4.8374e-07   6.7501e-02
 -1.4931e+00   4.6689e-04   3.3828e-05   4.3981e-04   4.2501e-04   1.4304e-05   5.0207e-07   1.2373e-01
 -7.9831e-01   6.6382e-04   4.0322e-05   6.7777e-04   6.6107e-04   1.6183e-05   5.2176e-07   2.0032e-01
 -1.0350e-01   8.6124e-04   4.5875e-05   8.3402e-04   8.1510e-04   1.8383e-05   5.4293e-07   2.5275e-01
  5.9129e-01   7.0699e-04   4.1600e-05   7.4667e-04   7.2516e-04   2.0948e-05   5.6573e-07   2.2187e-01
  1.2861e+00   5.2910e-04   3.5976e-05   5.1757e-04   4.9307e-04   2.3910e-05   5.9033e-07   1.4541e-01
  1.9809e+00   3.4717e-04   2.9139e-05   3.1676e-04   2.8887e-04   2.7270e-05   6.1690e-07   8.1383e-02
  2.6757e+00   1.8779e-04   2.1489e-05   1.9399e-04   1.6237e-04   3.0974e-05   6.4567e-07   4.3650e-02
  3.3705e+00   1.2579e-04   1.7604e-05   1.3284e-04   9.7282e-05   3.4877e-05   6.7686e-07   2.5357e-02
  4.0653e+00   1.0734e-04   1.6287e-05   1.0467e-04   6.5242e-05   3.8719e-05   7.1075e-07   1.6858e-02
  4.7601e+00   9.5037e-05   1.5331e-05   9.0726e-05   4.7856e-05   4.2123e-05   7.4765e-07   1.2383e-02
  5.4549e+00   9.8604e-05   1.5609e-05   8.2430e-05   3.6992e-05   4.4650e-05   7.8792e-07   9.5922e-03
  6.1497e+00   5.8933e-05   1.2083e-05   7.6262e-05   2.9522e-05   4.5908e-05   8.3197e-07   7.6638e-03
  6.8445e+00   5.6484e-05   1.1833e-05   7.0673e-05   2.4111e-05   4.5681e-05   8.8027e-07   6.2621e-03
  7.5393e+00   7.2385e-05   1.3416e-05   6.5004e-05   2.0062e-05   4.4009e-05   9.3337e-07   5.2113e-03
  8.2341e+00   5.1723e-05   1.1402e-05   5.9119e-05   1.6955e-05   4.1172e-05   9.9192e-07   4.4043e-03
  8.9289e+00   4.9786e-05   1.1190e-05   5.3168e-05   1.4520e-05   3.7591e-05   1.0567e-06   3.7717e-03
  9.6237e+00   5.6315e-05   1.1930e-05   4.7402e-05   1.2577e-05   3.3696e-05   1.1285e-06   3.2670e-03
  1.0318e+01   4.1427e-05   1.0278e-05   4.2043e-05   1.1004e-05   2.9831e-05   1.2085e-06   2.8581e-03
  1.1013e+01   4.8308e-05   1.1179e-05   3.7228e-05   9.7110e-06   2.6219e-05   1.2978e-06   2.5223e-03
  1.1708e+01   3.7112e-05   9.7993e-06   3.3011e-05   8.6371e-06   2.2976e-05   1.3980e-06   2.2433e-03
  1.2402e+01   3.3877e-05   9.3405e-06   2.9386e-05   7.7366e-06   2.0139e-05   1.5107e-06   2.0093e-03
  1.3097e+01   1.5945e-05   6.4106e-06   2.6297e-05   6.9721e-06   1.7687e-05   1.6384e-06   1.8107e-03
  1.3792e+01   2.0526e-05   7.2711e-06   2.3689e-05   6.3186e-06   1.5587e-05   1.7834e-06   1.6409e-03
