 -5.5744e+00   4.9549e-06   4.9549e-06   1.1568e-05   3.8731e-06   6.0937e-06   3.2572e-09   1.5983e-06   9.2121e-03
 -4.8646e+00   9.4576e-06   4.9405e-06   1.2564e-05   4.9989e-06   5.9669e-06   3.2604e-09   1.5952e-06   1.1886e-02
 -4.1552e+00   1.7613e-05   6.7654e-06   1.4268e-05   6.7847e-06   5.8826e-06   3.2729e-09   1.5976e-06   1.6125e-02
 -3.4459e+00   1.3527e-05   5.9168e-06   1.7578e-05   1.0132e-05   5.8374e-06   3.2945e-09   1.6053e-06   2.4103e-02
 -2.7365e+00   1.6490e-05   6.5060e-06   2.4807e-05   1.7356e-05   5.8289e-06   3.3253e-09   1.6183e-06   4.1430e-02
 -2.0271e+00   2.9663e-05   8.7282e-06   4.0016e-05   3.2521e-05   5.8556e-06   3.3652e-09   1.6364e-06   7.8069e-02
 -1.3177e+00   6.0451e-05   1.2549e-05   6.6382e-05   5.8802e-05   5.9167e-06   3.4143e-09   1.6599e-06   1.4198e-01
 -6.0835e-01   1.1037e-04   1.7117e-05   9.8496e-05   9.0792e-05   6.0126e-06   3.4730e-09   1.6887e-06   2.2022e-01
  1.0103e-01   1.3954e-04   1.9303e-05   1.1190e-04   1.0403e-04   6.1441e-06   3.5416e-09   1.7231e-06   2.5280e-01
  8.1041e-01   9.7905e-05   1.6219e-05   9.0207e-05   8.2127e-05   6.3126e-06   3.6205e-09   1.7633e-06   1.9899e-01
  1.5198e+00   5.3498e-05   1.2006e-05   5.8550e-05   5.0216e-05   6.5207e-06   3.7104e-09   1.8098e-06   1.2107e-01
  2.2292e+00   3.5486e-05   9.7811e-06   3.5771e-05   2.7132e-05   6.7718e-06   3.8119e-09   1.8628e-06   6.5032e-02
  2.9386e+00   2.2888e-05   7.8191e-06   2.3688e-05   1.4691e-05   7.0701e-06   3.9260e-09   1.9230e-06   3.5019e-02
  3.6479e+00   9.5058e-06   5.0114e-06   1.8338e-05   8.9219e-06   7.4211e-06   4.0535e-09   1.9909e-06   2.1210e-02
