 -5.5861e+01   4.9102e-06   8.2888e-06   1.1639e-05   2.6635e-07   7.6922e-07   1.0743e-06   9.5290e-06   1.2121e-04
 -5.5166e+01   2.3833e-05   1.8281e-05   8.8881e-06   2.7158e-07   7.9808e-07   1.1267e-06   6.6917e-06   1.2359e-04
 -5.4472e+01   2.7695e-05   1.9652e-05   7.3075e-06   2.7702e-07   8.2925e-07   1.1844e-06   5.0168e-06   1.2607e-04
 -5.3777e+01   4.6210e-06   7.9987e-06   6.3330e-06   2.8268e-07   8.6308e-07   1.2484e-06   3.9388e-06   1.2865e-04
 -5.3082e+01   9.2050e-06   1.1256e-05   5.7028e-06   2.8858e-07   8.9985e-07   1.3193e-06   3.1950e-06   1.3133e-04
 -4.8914e+01   3.8148e-06   7.1773e-06   4.8533e-06   3.2958e-07   1.2060e-06   1.9709e-06   1.3468e-06   1.5002e-04
 -4.8219e+01   9.6575e-06   1.1413e-05   4.9695e-06   3.3750e-07   1.2771e-06   2.1379e-06   1.2170e-06   1.5363e-04
 -4.7524e+01   3.8553e-06   7.2033e-06   5.1422e-06   3.4578e-07   1.3563e-06   2.3310e-06   1.1091e-06   1.5740e-04
 -4.6830e+01   7.7015e-06   5.1606e-06   5.3733e-06   3.5443e-07   1.4448e-06   2.5555e-06   1.0186e-06   1.6134e-04
 -4.6135e+01   9.7742e-06   5.8293e-06   5.6690e-06   3.6350e-07   1.5443e-06   2.8195e-06   9.4172e-07   1.6547e-04
 -4.5440e+01   1.2089e-05   6.5092e-06   6.0380e-06   3.7299e-07   1.6567e-06   3.1323e-06   8.7604e-07   1.6980e-04
 -4.4745e+01   1.1764e-05   6.4709e-06   6.4933e-06   3.8293e-07   1.7843e-06   3.5066e-06   8.1951e-07   1.7433e-04
 -4.4051e+01   1.0834e-05   6.2548e-06   7.0525e-06   3.9334e-07   1.9297e-06   3.9588e-06   7.7060e-07   1.7908e-04
 -4.3356e+01   6.8723e-06   4.9872e-06   7.7428e-06   4.0428e-07   2.0970e-06   4.5136e-06   7.2791e-07   1.8407e-04
