  1.1382e+01   1.7511e-04   3.0955e-05   1.2871e-04   3.4259e-05   9.4452e-05   2.3491e-03
  1.2075e+01   1.4818e-04   2.8518e-05   1.0278e-04   3.0572e-05   7.2208e-05   2.0957e-03
  1.2772e+01   1.0533e-04   2.4163e-05   8.4567e-05   2.7441e-05   5.7125e-05   1.8806e-03
  1.3449e+01   8.8644e-05   2.2161e-05   7.1465e-05   2.4846e-05   4.6619e-05   1.7024e-03
  1.4138e+01   3.9139e-05   1.4793e-05   6.1220e-05   2.2573e-05   3.8647e-05   1.5464e-03
  1.4802e+01   5.0565e-05   1.6855e-05   5.3424e-05   2.0671e-05   3.2753e-05   1.4159e-03
  1.5496e+01   4.4280e-05   1.5655e-05   4.6860e-05   1.8935e-05   2.7925e-05   1.2968e-03
  1.6183e+01   2.7620e-05   1.2352e-05   4.1558e-05   1.7430e-05   2.4128e-05   1.1935e-03
  1.6876e+01   2.2313e-05   1.1157e-05   3.7127e-05   1.6092e-05   2.1035e-05   1.1018e-03
  1.7552e+01   5.6339e-05   1.7816e-05   3.3496e-05   1.4935e-05   1.8561e-05   1.0224e-03
  1.8236e+01   4.5994e-05   1.6261e-05   3.0372e-05   1.3891e-05   1.6481e-05   9.5091e-04
  1.8931e+01   4.6363e-05   1.6392e-05   2.7653e-05   1.2944e-05   1.4710e-05   8.8599e-04
  1.9610e+01   3.4713e-05   1.4172e-05   2.5358e-05   1.2113e-05   1.3245e-05   8.2907e-04
  2.0300e+01   4.0736e-05   1.5397e-05   2.3326e-05   1.1353e-05   1.1973e-05   7.7696e-04
  2.0984e+01   4.0865e-05   1.5445e-05   2.1559e-05   1.0671e-05   1.0888e-05   7.3027e-04
  2.1669e+01   2.4137e-05   1.2069e-05   1.9998e-05   1.0052e-05   9.9466e-06   6.8786e-04
  2.2363e+01   2.4559e-05   1.2280e-05   1.8596e-05   9.4816e-06   9.1148e-06   6.4880e-04
  2.3048e+01   1.2485e-05   8.8279e-06   1.7363e-05   8.9683e-06   8.3949e-06   6.1365e-04
  2.3738e+01   1.2822e-05   9.0667e-06   1.6251e-05   8.4955e-06   7.7554e-06   5.8127e-04
  2.4432e+01   1.9646e-05   1.1343e-05   1.5245e-05   8.0597e-06   7.1858e-06   5.5143e-04
  2.5117e+01   6.4081e-06   6.4081e-06   1.4350e-05   7.6646e-06   6.6853e-06   5.2438e-04
  2.5803e+01   1.9771e-05   1.1415e-05   1.3537e-05   7.3000e-06   6.2369e-06   4.9942e-04
  2.6485e+01   2.0177e-05   1.1649e-05   1.2802e-05   6.9654e-06   5.8365e-06   4.7651e-04
  2.7239e+01   1.6350e-05   9.4398e-06   1.2064e-05   6.6244e-06   5.4394e-06   4.5317e-04
  2.7851e+01   1.6440e-05   9.4916e-06   1.1516e-05   6.3678e-06   5.1479e-06   4.3561e-04
  2.8534e+01   1.1010e-05   7.7856e-06   1.0952e-05   6.1009e-06   4.8510e-06   4.1734e-04
  2.9222e+01   5.5281e-06   5.5281e-06   1.0430e-05   5.8509e-06   4.5789e-06   4.0022e-04
  2.9902e+01   1.1065e-05   7.8239e-06   9.9541e-06   5.6207e-06   4.3334e-06   3.8447e-04
  3.0584e+01   2.7608e-05   1.2347e-05   9.5132e-06   5.4052e-06   4.1080e-06   3.6972e-04
  3.1270e+01   2.7756e-05   1.2413e-05   9.1028e-06   5.2027e-06   3.9001e-06   3.5586e-04
  3.1967e+01   0.0000e+00   5.5675e-06   8.7163e-06   5.0104e-06   3.7060e-06   3.4270e-04
  3.2656e+01   5.5995e-06   5.5995e-06   8.3618e-06   4.8324e-06   3.5293e-06   3.3052e-04
  3.3334e+01   1.1307e-05   7.9951e-06   8.0370e-06   4.6681e-06   3.3688e-06   3.1928e-04
  3.4025e+01   0.0000e+00   5.7200e-06   7.7284e-06   4.5109e-06   3.2175e-06   3.0853e-04
  3.4703e+01   5.6681e-06   5.6681e-06   7.4458e-06   4.3659e-06   3.0798e-06   2.9861e-04
  3.5392e+01   1.6757e-05   9.6746e-06   7.1772e-06   4.2273e-06   2.9499e-06   2.8912e-04
  3.6067e+01   5.5949e-06   5.5949e-06   6.9308e-06   4.0992e-06   2.8315e-06   2.8036e-04
  3.6760e+01   0.0000e+00   5.5339e-06   6.6936e-06   3.9753e-06   2.7183e-06   2.7188e-04
  3.7450e+01   5.5685e-06   5.5685e-06   6.4721e-06   3.8589e-06   2.6131e-06   2.6392e-04
  3.8129e+01   0.0000e+00   5.5129e-06   6.2672e-06   3.7507e-06   2.5165e-06   2.5651e-04
  3.8820e+01   1.0982e-05   7.7652e-06   6.0711e-06   3.6467e-06   2.4244e-06   2.4939e-04
