 -5.6686e+00   7.3362e-06   7.3362e-06   1.2014e-05   6.0481e-06   1.8513e-06   2.7428e-06   7.4432e-07   6.2729e-07   8.9000e-03
 -4.9748e+00   6.1359e-06   3.3757e-06   1.3621e-05   7.7336e-06   1.7350e-06   2.7694e-06   7.5176e-07   6.3105e-07   1.1368e-02
 -4.2811e+00   1.7115e-05   5.6329e-06   1.6175e-05   1.0333e-05   1.6482e-06   2.7994e-06   7.5988e-07   6.3508e-07   1.5167e-02
 -3.5873e+00   2.3900e-05   6.6646e-06   2.0775e-05   1.4948e-05   1.5860e-06   2.8328e-06   7.6870e-07   6.3937e-07   2.1984e-02
 -2.8936e+00   2.3056e-05   6.5587e-06   3.0205e-05   2.4368e-05   1.5450e-06   2.8697e-06   7.7825e-07   6.4394e-07   3.6287e-02
 -2.1999e+00   4.9334e-05   9.6045e-06   4.9634e-05   4.3764e-05   1.5228e-06   2.9101e-06   7.8855e-07   6.4879e-07   6.6743e-02
 -1.5061e+00   8.2069e-05   1.2414e-05   8.4150e-05   7.8224e-05   1.5180e-06   2.9543e-06   7.9961e-07   6.5393e-07   1.2240e-01
 -8.1236e-01   1.3541e-04   1.5990e-05   1.3028e-04   1.2428e-04   1.5297e-06   3.0022e-06   8.1147e-07   6.5937e-07   1.9875e-01
 -1.1862e-01   1.8644e-04   1.8799e-05   1.6192e-04   1.5582e-04   1.5579e-06   3.0541e-06   8.2415e-07   6.6512e-07   2.5244e-01
  5.7512e-01   1.6442e-04   1.7750e-05   1.4509e-04   1.3887e-04   1.6029e-06   3.1102e-06   8.3769e-07   6.7118e-07   2.2341e-01
  1.2688e+00   9.8086e-05   1.3765e-05   9.9730e-05   9.3364e-05   1.6659e-06   3.1705e-06   8.5213e-07   6.7756e-07   1.4726e-01
  1.9626e+00   5.3893e-05   1.0239e-05   6.0263e-05   5.3727e-05   1.7487e-06   3.2355e-06   8.6750e-07   6.8428e-07   8.2675e-02
  2.6563e+00   2.2117e-05   6.4187e-06   3.6303e-05   2.9569e-05   1.8538e-06   3.3051e-06   8.8386e-07   6.9134e-07   4.4353e-02
  3.3501e+00   3.1353e-05   7.6593e-06   2.4381e-05   1.7417e-05   1.9848e-06   3.3798e-06   9.0125e-07   6.9877e-07   2.5684e-02
  4.0438e+00   3.0345e-05   7.5396e-06   1.8823e-05   1.1591e-05   2.1464e-06   3.4599e-06   9.1972e-07   7.0656e-07   1.7013e-02
  4.7375e+00   1.6076e-05   5.5003e-06   1.6031e-05   8.4858e-06   2.3453e-06   3.5456e-06   9.3934e-07   7.1473e-07   1.2467e-02
  5.4313e+00   1.2997e-05   4.9510e-06   1.4466e-05   6.5546e-06   2.5904e-06   3.6373e-06   9.6017e-07   7.2331e-07   9.6426e-03
  6.1250e+00   8.6079e-06   4.0483e-06   1.3570e-05   5.2265e-06   2.8935e-06   3.7354e-06   9.8228e-07   7.3229e-07   7.6940e-03
  6.8188e+00   1.0025e-05   4.3727e-06   1.3123e-05   4.2638e-06   3.2715e-06   3.8405e-06   1.0058e-06   7.4171e-07   6.2787e-03
  7.5125e+00   1.1756e-05   4.7457e-06   1.3027e-05   3.5435e-06   3.7479e-06   3.9529e-06   1.0307e-06   7.5157e-07   5.2186e-03
  8.2062e+00   5.6819e-06   3.3280e-06   1.3240e-05   2.9907e-06   4.3566e-06   4.0733e-06   1.0572e-06   7.6190e-07   4.4047e-03
  8.9000e+00   1.3240e-05   5.1386e-06   1.3766e-05   2.5576e-06   5.1485e-06   4.2022e-06   1.0853e-06   7.7271e-07   3.7669e-03
  9.5937e+00   1.2399e-05   4.8466e-06   1.4653e-05   2.2122e-06   6.2014e-06   4.3403e-06   1.1152e-06   7.8403e-07   3.2582e-03
  1.0288e+01   9.4649e-06   4.2226e-06   1.6006e-05   1.9325e-06   7.6427e-06   4.4885e-06   1.1469e-06   7.9588e-07   2.8461e-03
  1.0982e+01   1.4191e-05   5.1815e-06   1.8029e-05   1.7028e-06   9.6900e-06   4.6475e-06   1.1807e-06   8.0828e-07   2.5078e-03
  1.1675e+01   1.4635e-05   5.2855e-06   2.1094e-05   1.5122e-06   1.2725e-05   4.8181e-06   1.2167e-06   8.2125e-07   2.2272e-03
  1.2369e+01   2.8919e-05   7.4510e-06   2.5867e-05   1.3520e-06   1.7423e-05   5.0019e-06   1.2550e-06   8.3484e-07   1.9912e-03
